year,r20mm
1965,7
1966,4
1967,3
1968,2
1969,2
1970,2
1971,5
1972,7
1973,7
1974,5
1975,5
1976,3
1977,11
1978,6
1979,5
1980,4
1981,1
1982,0
1983,2
1984,6
1985,1
1986,11
1987,3
1988,6
1989,5
1990,3
1991,1
1992,2
1993,4
1994,3
1995,0
1996,8
1997,9
1998,5
1999,4
2000,9
2001,10
2002,9
2003,8
2004,1
2005,8
2006,7
2007,8
2008,8
2009,7
2010,5
2011,8
2012,5
2013,4
2014,5
2015,9
2016,5
2017,5
2018,5
2019,2
