year,r10mm
1965,23
1966,14
1967,18
1968,21
1969,8
1970,17
1971,14
1972,26
1973,25
1974,32
1975,23
1976,16
1977,27
1978,29
1979,17
1980,14
1981,17
1982,10
1983,6
1984,24
1985,24
1986,31
1987,20
1988,30
1989,14
1990,10
1991,21
1992,8
1993,20
1994,21
1995,14
1996,21
1997,33
1998,19
1999,24
2000,25
2001,24
2002,30
2003,18
2004,18
2005,19
2006,21
2007,21
2008,21
2009,19
2010,18
2011,28
2012,34
2013,19
2014,22
2015,28
2016,17
2017,30
2018,29
2019,22
