year,r99p
1965,36.6
1966,32.8
1967,0
1968,0
1969,0
1970,0
1971,0
1972,31.8
1973,40
1974,77.3
1975,36
1976,38.2
1977,72.1
1978,0
1979,31.8
1980,33.2
1981,0
1982,0
1983,0
1984,0
1985,0
1986,101.7
1987,0
1988,46
1989,0
1990,0
1991,0
1992,0
1993,85.4
1994,54.6
1995,0
1996,75.7
1997,147.5
1998,73.7
1999,34.9
2000,31.6
2001,108.4
2002,0
2003,78.9
2004,0
2005,102.6
2006,101.7
2007,83.9
2008,44.1
2009,70.6
2010,0
2011,70.6
2012,32.6
2013,54.3
2014,65.6
2015,0
2016,66
2017,31.6
2018,39.6
2019,0
