year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1965,26.6,27.4,25,36.6,3,0,0,0,5.1,11.2,22,31.5,36.6
1966,16.1,32.8,19,1.8,15,0,0,1,4,6.7,22,30,32.8
1967,12.5,20.1,31.2,5.4,6.8,0.6,3.3,7,12.1,12.1,4.2,25.7,31.2
1968,13,22.2,10,4,8,3.1,2.2,0,13.5,9,18,25.6,25.6
1969,27.2,9,7.2,10.4,0,0.6,2.2,0,2.4,8.4,19,10,27.2
1970,11.8,16.8,24,10,3.6,0,0,0,5.8,6.3,6.1,20.2,24
1971,18.8,30.8,12.4,6.2,5.8,0,0,4,0,6.5,25,17,30.8
1972,31.8,20,20.7,16.9,6.2,0,0,0.6,12.2,17.9,7.2,13.9,31.8
1973,27.8,30,24.4,22,11.2,0,2.1,0.8,15.9,2.4,8.5,40,40
1974,33.7,43.6,19.1,18,0,0,0,12.1,11.4,10.2,22,18,43.6
1975,26,30.4,11.5,6.2,13.9,0,0,0,5.5,9.2,6,36,36
1976,38.2,23.8,15,9.1,2,1.9,1.3,1.8,7.2,4.1,6.1,13,38.2
1977,35.4,28.2,36.7,9,0,0,0,0,7.1,12.6,26.8,27.9,36.7
1978,25.9,20.3,24.6,11.6,0,0,0,0,1.6,6.1,15.8,21.5,25.9
1979,20.2,31.8,13.3,26.3,2.8,0,0.6,1.2,1.7,10.8,17.4,29.8,31.8
1980,10,16.4,33.2,4.6,2.1,0,1,20,8,30.5,16.8,9,33.2
1981,14.6,18.3,26.2,14.2,0,0,1,10.8,3.2,4.8,10.8,16,26.2
1982,19,14.5,13.1,11,3,1,1,4.5,7,7,8,7.5,19
1983,6,11.5,6.5,2,3,2.8,0,2,4.5,6,20.5,21,21
1984,22.4,28.2,27,6,14.4,0,2,2.5,2.5,7,11.9,25.5,28.2
1985,17.5,19,12.5,13,5,16,0,2,9,9.5,14,20.5,20.5
1986,54.2,47.5,27.2,20,1.3,0,10.5,1,10,4,7.3,30,54.2
1987,16,25.4,15,7,0,0.7,6,1.5,6.4,7.3,29,17.8,29
1988,25.8,25.8,21.4,10,7.6,0,0,0,14.2,19.7,0,46,46
1989,29.5,18,20.2,15.4,0,1.4,0,4,5,2.5,11,22.2,29.5
1990,19.8,9.6,8.4,7.5,1.8,21.6,0,3.8,0.5,31,25.7,11,31
1991,14.4,16.7,14.4,20.2,5.8,16.8,0,0,4.6,7,12,10.8,20.2
1992,12.2,10.4,4.4,2.6,0,2.2,2.2,29.3,0,13.4,5,13,29.3
1993,16.8,22.4,17,17.3,3,0,0,15,7.4,53.4,22.4,32,53.4
1994,18.8,12.8,54.6,24.8,0,0,0,0,5.3,11.6,12,12.4,54.6
1995,15.4,14.2,15.5,3.2,0,0,0,0.2,10.8,6.7,13.6,10.7,15.5
1996,42.7,14.4,24.8,11.6,1.9,0,2,12.8,4.8,6.3,20,28.7,42.7
1997,17.5,44.6,34.5,26.8,2.5,0,0,6.8,23.3,14.4,28.2,35.6,44.6
1998,22.1,39.2,34.5,6.1,0,0,0,5.5,0,17.8,12.6,11.1,39.2
1999,23,21.4,18.3,18.2,5.4,0,1.8,1.8,10.6,26.2,2.4,34.9,34.9
2000,17.5,31.2,31.6,21.8,0.4,0,0,3.1,15.8,23.1,6.6,30.3,31.6
2001,32.2,44.2,20.9,26.6,7,0.8,0.4,7.5,6,32,16.6,10,44.2
2002,15.5,21.7,21.1,30.5,10,4.2,12.5,10.4,2.5,23.1,27.2,23.7,30.5
2003,30.3,12.4,24.6,8,5.6,2.6,0,0.5,12.2,6.1,42.3,36.6,42.3
2004,16.4,29.6,15.8,10.8,8.5,0.5,5.3,6,6,1,10.1,15.5,29.6
2005,15.2,66,36.6,26.4,0,0,0,0.5,3.8,11.2,22.7,13.8,66
2006,19.5,35.2,26,20.2,0,0.7,0,0.7,32,9.2,12.5,24.3,35.2
2007,18.4,24.2,37.5,18.3,1.2,0,0.8,0,17.8,12.7,46.4,14.5,46.4
2008,44.1,22.4,25.2,5.1,0,0.2,0,0.6,1,16.2,21.9,31.5,44.1
2009,14.3,22.9,25,10.8,0,0,1.6,0.5,0.5,19.4,35.6,21.5,35.6
2010,25.1,17.3,18,8.3,5.8,0,0.5,0,2.1,6.3,14.2,27.3,27.3
2011,17.7,23.2,35.2,14.9,0.8,0,3.4,4.1,10.4,21,16.3,35.4,35.4
2012,20.3,32.6,21.7,18.9,0,0,0,2.9,1.9,8.4,14.8,22.3,32.6
2013,16.1,54.3,5.9,5.3,3.4,6,5.4,4,5.7,23.2,19.4,29.8,54.3
2014,33,12,12.7,9.2,0,0,2.2,12.2,8.2,18.5,17.4,32.6,33
2015,21.2,21.8,13.4,22.4,0,1.9,3.7,2.3,17.3,11.6,28.9,30.2,30.2
2016,16.5,32.7,17.1,33.3,0.6,3.5,3.8,0,1.4,21.1,4.5,9.2,33.3
2017,22.9,19.3,29.2,11.2,3.2,3,3,0,15,29,19.2,31.6,31.6
2018,39.6,23.6,16.1,18.2,2.8,9.3,16.9,0.8,0,10.4,25,22,39.6
2019,22.6,13,12.9,22.3,9.9,0.5,4.3,0,7.5,16,19,15.5,22.6
