month,AYAVIRI,PROGRESO,LAMPA,CABANILLAS,AZANGARO,ARAPA,MUNANI,HUANCANE,HUARAYAMOHO,CAPACHICA
1,3.3463440860215052,5.081935483870968,3.5843010752688174,4.341720430107527,4.273763440860215,4.521935483870967,4.676129032258065,3.4833333333333334,4.802043010752688,4.038924731182796
2,3.2772136953955138,5.040850059031878,3.770720188902007,4.42172373081464,4.273199527744983,4.752420306965762,4.143565525383707,3.3739079102715466,4.603541912632822,4.016883116883117
3,2.723333333333333,4.8267741935483865,3.1745161290322583,4.032150537634409,3.828494623655914,3.844731182795699,3.9249462365591397,2.574731182795699,3.7327956989247313,3.5386021505376344
4,1.0092222222222222,3.68,0.9344444444444444,2.868666666666667,2.5821111111111112,2.0866666666666664,2.046777777777778,0.7372222222222222,2.1975555555555557,1.7726666666666668
5,-2.185806451612903,0.7174193548387098,-3.7194623655913976,0.748494623655914,-0.04795698924731183,-1.2373118279569892,0.31204301075268814,-2.8005376344086024,-0.28913978494623654,-1.4621505376344086
6,-4.319888888888889,-1.1526666666666667,-6.124555555555556,-1.156222222222222,-1.9985555555555556,-3.4987777777777778,-0.3334444444444445,-4.946,-1.9364444444444444,-3.6103333333333336
7,-4.5041935483870965,-1.4548387096774194,-6.609569892473118,-1.513010752688172,-2.1941935483870965,-3.3621505376344087,-2.8718279569892475,-5.598924731182795,-2.2469892473118276,-3.793010752688172
8,-3.216774193548387,-0.4064516129032258,-5.306021505376345,-0.21935483870967742,-1.1068817204301076,-2.2750537634408605,-1.3583870967741936,-4.2075268817204305,-1.2340860215053764,-2.601290322580645
9,-0.5066666666666667,2.196111111111111,-2.4867777777777778,1.710111111111111,1.1095555555555556,0.28355555555555556,0.9157777777777778,-1.2082222222222223,0.9082222222222222,-0.35055555555555556
10,1.2076344086021504,3.681720430107527,-0.09655913978494624,3.0964516129032256,2.634193548387097,2.319677419354839,2.5418279569892475,0.9298924731182795,2.633225806451613,1.5770967741935484
11,1.9703333333333333,4.306666666666667,0.7002222222222223,3.915111111111111,3.2818888888888886,3.1464444444444446,3.4193333333333333,1.9228888888888889,3.5053333333333336,2.3885555555555555
12,2.8384946236559143,4.836666666666667,2.315483870967742,4.33,3.95,4.34741935483871,4.029569892473118,3.0207526881720432,4.4447311827956995,3.3577419354838707
