month,AYAVIRI,PROGRESO,LAMPA,CABANILLAS,AZANGARO,ARAPA,MUNANI,HUANCANE,HUARAYAMOHO,CAPACHICA
1,2.954064516129032,5.202322580645162,3.275741935483871,4.015096774193548,4.114064516129033,4.374451612903226,4.773935483870968,2.8081290322580648,4.321935483870968,3.4331612903225803
2,2.8560906515580737,5.142634560906515,3.4984419263456092,4.06586402266289,4.065439093484419,4.602407932011332,4.119830028328612,2.6845609065155807,4.16685552407932,3.6189801699716715
3,2.519741935483871,4.645806451612903,2.8929032258064518,3.748645161290322,3.5713548387096776,3.6630967741935483,3.996,2.033161290322581,3.4472258064516126,2.9806451612903224
4,0.8382666666666667,3.332933333333333,0.34626666666666667,2.6796,2.3458666666666668,1.7657333333333334,2.192266666666667,0.6313333333333333,2.0136000000000003,1.4965333333333335
5,-2.1335483870967744,0.5192258064516129,-4.105419354838709,0.7227096774193549,-0.17212903225806453,-1.3340645161290323,0.09909677419354838,-2.6651612903225805,-0.03896774193548388,-1.2967741935483872
6,-3.9732000000000003,-1.1336000000000002,-6.4155999999999995,-1.134,-1.7352,-3.5482666666666662,0.04026666666666667,-4.2288,-1.4012000000000002,-2.961333333333333
7,-4.575612903225807,-1.7174193548387098,-7.382451612903226,-1.5406451612903225,-2.147741935483871,-3.666967741935484,-3.31058064516129,-5.1499354838709674,-1.9619354838709677,-3.4320000000000004
8,-2.812516129032258,0.10451612903225807,-5.575741935483871,-0.22683870967741934,-0.9070967741935484,-2.124258064516129,-1.105032258064516,-3.357290322580645,-0.6923870967741935,-2.0876129032258066
9,-0.39226666666666665,2.2505333333333333,-1.9185333333333334,1.8923999999999999,1.2482666666666666,0.5844,1.3546666666666667,-0.9782666666666667,1.0954666666666666,0.25160000000000005
10,1.2548387096774194,3.7932903225806456,-0.6638709677419354,3.0455483870967743,2.8030967741935484,2.4219354838709677,2.500774193548387,0.7596129032258065,2.5580645161290323,1.591225806451613
11,1.8013333333333332,4.3722666666666665,0.7792,3.6232,3.218933333333333,3.42,3.2788,1.7404,3.3125333333333336,2.2054666666666667
12,2.616,4.901161290322581,2.013032258064516,4.024516129032258,3.837290322580645,4.219612903225806,4.104258064516129,2.3726451612903223,4.048774193548387,2.9731612903225804
